application_id,customer_id,issue_date,snapshot_date,days_since_issue,loan_amount,down_payment,interest_rate,term_months,vehicle_age,vehicle_price,mileage_at_issue,vehicle_brand,customer_age,customer_income,employment_type,employment_length_years,credit_history_length,num_past_default,num_open_loans,num_delinquencies_6m,credit_utilization,own_property,marital_status,address_region,channel,previous_bank_customer,debt_to_income_ratio,default
55,346,2025-05-20,2025-10-19,152,797566.45,110840.95,15.31,36,2,908407.41,37046.0,Audi,54,96793.56,contract,6.0,13.0,0,3,1,0.94,1,divorced,Novosibirsk,online,1,0.69,0
56,565,2025-09-14,2025-10-19,35,1766048.43,352939.82,12.16,60,9,2118988.25,136160.0,Mercedes,52,37122.0,salaried,4.0,10.0,0,0,0,0.93,1,single,Moscow,branch,1,3.0,1
57,340,2025-07-24,2025-10-19,87,1255165.01,302952.44,15.22,60,4,1558117.44,62545.0,Mercedes,49,95754.49,salaried,14.0,7.0,0,1,0,0.15,1,divorced,Moscow,online,1,1.09,0
58,92,2024-07-19,2025-10-19,457,1230028.63,271276.93,14.19,60,9,1501305.56,135459.0,Toyota,45,23952.59,salaried,19.0,7.0,0,3,1,0.26,1,married,SPB,branch,1,3.0,0
59,367,2025-03-21,2025-10-19,212,1172931.7,300059.98,14.85,36,4,1472991.69,61489.0,Hyundai,46,73102.11,contract,19.0,,0,3,0,0.23,1,married,Moscow,branch,0,1.34,0
60,455,2025-06-17,2025-10-19,124,1434321.98,258457.28,10.8,72,9,1692779.26,145513.0,Kia,59,37361.21,self_employed,14.0,1.0,1,0,1,0.35,1,married,Kazan,online,0,3.0,0
61,428,2024-01-11,2025-10-19,647,1961607.33,300783.04,13.2,36,5,2262390.37,74680.0,,28,,salaried,,4.0,0,1,0,0.28,1,married,SPB,branch,1,1.71,0
62,509,2025-08-03,2025-10-19,77,1357185.8,281469.75,12.89,36,9,1638655.55,133234.0,Lada,39,81731.75,salaried,13.0,3.0,1,3,0,0.95,0,married,Kazan,branch,0,1.38,0
63,35,2025-08-31,2025-10-19,49,1023573.95,222843.33,10.16,24,7,1246417.28,110209.0,Toyota,62,60730.31,salaried,9.0,4.0,1,2,0,0.18,1,single,Moscow,branch,1,1.4,0
64,206,2025-09-09,2025-10-19,40,1159979.74,300417.05,15.21,48,4,1460396.79,55785.0,BMW,42,115860.2,salaried,16.0,9.0,0,5,0,0.29,1,divorced,Kazan,branch,0,0.83,0
65,81,2025-02-15,2025-10-19,246,1521298.94,363667.07,11.37,36,0,1884966.01,0.0,,49,57583.34,salaried,13.0,8.0,0,2,0,0.17,1,single,,dealer,0,2.2,0
66,562,2024-09-23,2025-10-19,391,1025159.82,231869.15,11.78,36,4,1257028.96,56958.0,Volkswagen,53,20000.0,salaried,1.0,14.0,0,4,1,0.98,0,single,,dealer,0,3.0,0
67,388,2024-12-21,2025-10-19,302,1455673.95,329404.3,10.97,36,2,1785078.25,28721.0,,58,92840.88,salaried,15.0,3.0,1,4,0,0.93,1,single,SPB,online,0,1.31,0
68,2,2024-04-03,2025-10-19,564,503778.79,91164.68,14.4,60,3,594943.47,43939.0,Mercedes,55,35835.03,salaried,12.0,14.0,0,1,0,0.74,1,single,Other,branch,0,1.17,0
69,390,2024-01-06,2025-10-19,652,1131036.13,165251.5,9.95,60,7,1296287.62,108495.0,Audi,63,58374.76,salaried,8.0,14.0,0,3,2,0.48,1,single,Yekaterinburg,online,1,1.61,1
70,566,2024-05-22,2025-10-19,515,1388442.0,283574.46,14.24,36,6,1672016.47,88288.0,Volkswagen,23,67066.34,self_employed,6.0,11.0,0,2,0,0.27,1,single,Yekaterinburg,online,0,1.73,0
71,106,2024-09-30,2025-10-19,384,1581037.66,365336.21,15.09,60,4,1946373.87,63697.0,,39,,salaried,15.0,7.0,0,2,1,0.3,0,married,SPB,online,1,2.97,0
72,477,2024-01-30,2025-10-19,628,954457.73,223709.59,14.07,60,1,1178167.33,19321.0,Kia,30,67656.81,salaried,9.0,7.0,1,5,0,0.5,0,married,,dealer,1,1.18,0
73,402,2024-10-05,2025-10-19,379,749170.49,191524.47,14.43,60,5,940694.96,71732.0,Toyota,47,44867.95,contract,8.0,1.0,0,1,0,0.79,1,single,SPB,branch,1,1.39,1
74,556,2024-09-02,2025-10-19,412,1121779.45,202968.11,14.52,36,5,1324747.56,79214.0,Lada,35,84059.58,salaried,6.0,,1,3,0,0.34,0,single,Moscow,online,1,1.11,0
75,162,2025-08-11,2025-10-19,69,862374.3,159197.52,11.1,48,9,1021571.82,139667.0,Toyota,31,49281.37,self_employed,15.0,,0,1,0,0.38,1,divorced,Other,online,1,1.46,0
76,202,2024-03-20,2025-10-19,578,1155289.0,255229.07,15.87,72,9,1410518.07,126195.0,Volkswagen,46,80753.66,salaried,8.0,4.0,0,0,1,0.64,1,single,,dealer,0,1.19,0
77,270,2025-08-28,2025-10-19,52,1198003.96,212275.42,12.08,48,5,1410279.39,76467.0,Lada,44,109050.19,salaried,16.0,1.0,2,2,0,0.31,1,single,Other,online,0,0.92,0
78,271,2024-04-17,2025-10-19,550,804256.49,135065.44,12.87,36,8,939321.93,117468.0,Volkswagen,33,99559.32,self_employed,19.0,11.0,0,1,0,0.63,0,single,Yekaterinburg,online,1,0.67,0
79,456,2025-09-15,2025-10-19,34,1441331.73,303165.46,12.33,48,7,1744497.19,111515.0,Kia,52,77957.23,salaried,6.0,9.0,1,1,0,0.45,0,single,Moscow,dealer,0,1.54,0
80,462,2024-06-01,2025-10-19,505,1152835.83,268612.4,13.98,48,7,1421448.24,102417.0,Hyundai,57,55281.57,self_employed,10.0,3.0,0,5,0,0.13,1,married,Novosibirsk,branch,1,1.74,0
81,252,2024-07-02,2025-10-19,474,1524137.96,294851.16,11.92,48,0,1818989.12,0.0,Lada,24,83979.43,salaried,7.0,6.0,0,0,0,0.46,1,single,Moscow,online,1,1.51,0
82,296,2024-03-16,2025-10-19,582,646528.43,71146.21,13.13,36,4,717674.64,59851.0,Toyota,33,62607.02,salaried,6.0,12.0,0,4,0,0.93,0,married,Moscow,branch,1,0.86,0
83,338,2024-05-17,2025-10-19,520,894842.35,142178.27,10.53,36,6,1037020.62,85515.0,Lada,29,85028.09,salaried,18.0,0.0,2,2,0,0.36,1,single,Moscow,dealer,0,0.88,0
84,53,2024-01-12,2025-10-19,646,1355000.79,281183.76,15.33,60,5,1636184.56,79248.0,Volkswagen,54,37117.87,salaried,19.0,14.0,2,5,0,0.39,1,married,Other,dealer,1,3.0,0
85,217,2024-06-10,2025-10-19,496,960266.83,201629.41,14.34,60,4,1161896.24,55957.0,Hyundai,57,100181.53,salaried,11.0,8.0,0,1,2,0.16,0,married,SPB,online,1,0.8,0
86,188,2024-01-14,2025-10-19,644,1150639.3,242189.77,12.42,36,7,1392829.07,104912.0,Volkswagen,27,80830.41,salaried,6.0,9.0,0,2,1,0.65,0,single,Novosibirsk,online,1,1.19,0
87,380,2024-07-14,2025-10-19,462,1200209.74,266106.71,12.06,72,2,1466316.45,37729.0,Toyota,21,135212.92,salaried,7.0,11.0,0,4,0,0.86,1,single,Moscow,online,1,0.74,0
88,493,2025-03-04,2025-10-19,229,1247476.79,249785.89,14.29,36,5,1497262.68,80493.0,Hyundai,32,112651.54,salaried,,,0,1,1,0.42,0,single,Kazan,branch,0,0.92,1
89,41,2025-08-05,2025-10-19,75,996730.14,212598.83,11.59,48,4,1209328.97,62389.0,Mercedes,41,94154.67,self_employed,5.0,14.0,0,0,0,0.32,0,married,SPB,branch,0,0.88,0
90,157,2025-01-24,2025-10-19,268,1244785.97,246705.85,13.25,60,7,1491491.82,104362.0,Mercedes,31,76900.18,salaried,8.0,,0,2,2,0.96,0,single,SPB,online,0,1.35,0
91,15,2024-04-09,2025-10-19,558,965236.89,250484.05,15.32,60,3,1215720.94,46914.0,Audi,64,61759.89,contract,12.0,4.0,2,5,1,0.77,1,married,,branch,0,1.3,0
92,65,2025-01-05,2025-10-19,287,1402284.14,352073.93,11.38,72,7,1754358.07,108445.0,Mercedes,64,103560.23,salaried,6.0,,0,0,0,0.61,1,single,SPB,branch,0,1.13,0
93,521,2024-05-21,2025-10-19,516,1165546.79,173658.79,13.74,36,9,1339205.59,130067.0,Audi,64,74263.26,salaried,7.0,7.0,0,4,0,0.37,0,single,Novosibirsk,branch,0,1.31,1
94,344,2025-05-05,2025-10-19,167,1246510.99,236539.6,13.63,60,1,1483050.59,19257.0,Kia,34,109209.12,self_employed,16.0,1.0,0,4,0,0.3,0,single,Moscow,dealer,1,0.95,0
95,129,2024-12-17,2025-10-19,306,1970978.05,395831.83,12.81,36,8,2366809.89,114492.0,Kia,54,90020.58,salaried,16.0,3.0,0,2,0,0.74,0,single,Other,branch,1,1.82,0
96,648,2024-11-18,2025-10-19,335,867868.66,160228.0,11.99,60,8,1028096.66,122862.0,Mercedes,54,,salaried,15.0,1.0,2,4,0,0.57,1,single,Moscow,online,0,0.8,0
97,472,2024-07-17,2025-10-19,459,1616574.68,412961.07,15.43,60,9,2029535.75,129466.0,Toyota,45,94863.15,salaried,1.0,3.0,0,3,0,0.57,0,single,SPB,branch,1,1.42,0
98,63,2025-05-12,2025-10-19,160,402194.59,91636.68,11.8,48,9,493831.28,144814.0,Audi,24,57009.33,salaried,,14.0,1,5,0,0.17,1,married,Moscow,dealer,1,0.59,1
99,139,2024-02-24,2025-10-19,603,576487.0,75028.81,9.38,36,5,651515.81,78817.0,,46,54446.59,salaried,16.0,5.0,2,2,0,0.56,0,single,Moscow,online,1,0.88,0
100,499,2025-02-04,2025-10-19,257,827807.98,195383.71,14.28,60,3,1023191.69,37220.0,Volkswagen,36,53582.26,contract,12.0,,0,3,0,0.84,0,married,Other,dealer,1,1.29,0
101,593,2024-04-16,2025-10-19,551,846741.49,182897.03,10.6,36,3,1029638.52,44995.0,BMW,30,106187.42,salaried,17.0,11.0,0,4,1,0.95,0,married,Other,online,0,0.66,0
102,392,2024-08-08,2025-10-19,437,1261110.54,267431.75,14.38,24,5,1528542.29,72393.0,Kia,22,56356.96,self_employed,9.0,12.0,0,2,0,0.2,1,married,Novosibirsk,online,0,1.86,1
103,675,2024-11-09,2025-10-19,344,1286952.68,347784.34,15.67,60,4,1634737.02,56801.0,Toyota,55,59471.01,salaried,1.0,1.0,0,3,0,0.67,1,divorced,Other,online,0,1.8,0
104,419,2025-03-21,2025-10-19,212,1123553.62,242249.98,14.26,48,5,1365803.6,75736.0,Lada,39,93437.93,salaried,1.0,10.0,0,4,1,0.61,1,single,Other,dealer,0,1.0,0
105,289,2024-01-10,2025-10-19,648,1155036.61,215824.25,15.14,60,6,1370860.86,85360.0,Lada,26,73698.77,salaried,13.0,3.0,0,1,0,0.9,0,single,Novosibirsk,branch,1,1.31,0
106,379,2025-07-11,2025-10-19,100,1358329.43,173902.06,17.04,36,6,1532231.49,93807.0,Audi,39,70505.14,self_employed,15.0,3.0,0,1,0,0.78,0,married,Other,online,1,1.61,0
107,490,2025-07-23,2025-10-19,88,1449967.16,281723.48,14.93,36,8,1731690.65,123523.0,Volkswagen,28,68336.13,self_employed,6.0,13.0,0,0,0,0.97,1,married,SPB,dealer,0,1.77,0
108,231,2025-08-22,2025-10-19,58,802038.3,225706.15,13.66,60,7,1027744.45,106757.0,Toyota,34,21859.21,salaried,11.0,0.0,0,1,0,0.96,1,married,Kazan,branch,1,3.0,1
109,41,2024-05-24,2025-10-19,513,1091432.71,213728.09,16.27,48,5,1305160.79,74902.0,Mercedes,30,55827.96,salaried,13.0,14.0,0,3,0,0.3,1,single,Yekaterinburg,dealer,1,1.63,0
110,28,2024-05-10,2025-10-19,527,1179123.05,123822.12,16.51,36,5,1302945.17,78299.0,Lada,23,109539.08,salaried,3.0,,0,5,1,0.75,0,married,Moscow,online,0,0.9,1
111,135,2025-04-21,2025-10-19,181,1345594.8,244200.84,16.54,60,4,1589795.64,63957.0,Toyota,58,66515.05,salaried,3.0,1.0,0,1,2,0.58,0,divorced,Other,online,1,1.69,0
112,201,2024-01-17,2025-10-19,641,968199.86,243274.4,12.02,48,0,1211474.26,2275.0,BMW,49,32487.76,salaried,,13.0,0,2,2,0.29,0,single,Moscow,branch,0,2.48,1
113,33,2025-04-02,2025-10-19,200,1173233.65,261937.59,10.29,48,8,1435171.24,113441.0,Volkswagen,35,54800.14,self_employed,2.0,2.0,0,2,0,0.28,1,divorced,Other,branch,1,1.78,0
114,48,2025-01-22,2025-10-19,270,1208995.09,199804.97,11.89,48,8,1408800.06,116058.0,Mercedes,43,88996.35,salaried,0.0,12.0,0,2,0,0.17,1,single,SPB,branch,0,1.13,0
115,503,2025-06-16,2025-10-19,125,988658.97,169467.55,14.41,60,8,1158126.52,118660.0,Kia,43,88500.87,self_employed,,14.0,0,1,1,0.82,1,single,SPB,branch,0,0.93,1
116,407,2024-09-15,2025-10-19,399,981505.46,175765.66,13.32,60,7,1157271.11,97621.0,,38,72642.98,salaried,6.0,10.0,0,1,0,0.39,0,single,Moscow,branch,1,1.13,0
117,574,2024-09-11,2025-10-19,403,1229623.73,212789.06,12.59,60,9,1442412.79,136120.0,Toyota,39,,salaried,15.0,4.0,0,0,0,0.87,1,married,Other,online,1,1.63,0
118,99,2024-05-21,2025-10-19,516,1160896.46,130695.6,14.12,36,2,1291592.05,37055.0,Toyota,48,44945.1,salaried,4.0,10.0,0,5,1,0.65,1,married,Moscow,branch,0,2.15,0
119,684,2024-08-02,2025-10-19,443,1350143.26,308208.21,10.06,60,0,1658351.46,6258.0,Audi,46,89204.63,self_employed,18.0,7.0,2,5,0,0.71,0,married,Novosibirsk,online,1,1.26,0
120,547,2024-08-15,2025-10-19,430,884022.38,239657.47,13.28,48,7,1123679.86,108698.0,Lada,30,100946.76,self_employed,6.0,14.0,0,4,0,0.36,1,married,Novosibirsk,online,1,0.73,0
121,613,2025-05-06,2025-10-19,166,1094795.54,143036.66,15.24,48,6,1237832.2,93639.0,Volkswagen,24,,salaried,13.0,5.0,0,0,0,0.51,1,single,Moscow,online,0,0.81,0
122,462,2025-02-21,2025-10-19,240,1131235.18,288439.68,14.1,36,4,1419674.87,71076.0,Hyundai,22,52235.32,salaried,1.0,2.0,0,3,0,0.47,1,single,Other,branch,1,1.8,0
123,643,2025-01-22,2025-10-19,270,1444159.17,283680.67,14.38,60,9,1727839.85,139219.0,Toyota,23,114138.07,salaried,2.0,5.0,0,2,0,0.31,1,single,Moscow,dealer,1,1.05,0
124,5,2024-04-30,2025-10-19,537,917875.87,244831.79,16.19,60,6,1162707.66,94628.0,,27,78584.7,salaried,16.0,6.0,0,1,0,0.85,0,divorced,Novosibirsk,online,0,0.97,0
125,218,2024-01-06,2025-10-19,652,1270395.6,255976.64,12.87,36,9,1526372.24,127805.0,Toyota,36,80664.3,salaried,15.0,5.0,2,4,1,0.66,1,single,SPB,online,1,1.31,0
126,503,2024-03-06,2025-10-19,592,1275826.65,261942.56,11.69,48,3,1537769.21,51664.0,Toyota,51,102339.8,self_employed,7.0,9.0,0,4,0,0.13,1,married,Moscow,online,1,1.04,0
127,398,2024-01-26,2025-10-19,632,1693919.17,357405.57,15.38,60,8,2051324.74,121992.0,Hyundai,30,66476.15,salaried,17.0,5.0,1,1,0,0.84,0,single,Moscow,dealer,1,2.12,1
128,393,2024-07-08,2025-10-19,468,897873.19,140071.32,15.34,24,9,1037944.51,134601.0,BMW,39,25904.92,self_employed,14.0,0.0,0,0,0,0.2,1,single,Yekaterinburg,branch,1,2.89,0
129,207,2025-06-15,2025-10-19,126,1002830.0,260299.71,14.12,72,1,1263129.71,13362.0,Kia,48,97621.54,salaried,6.0,2.0,3,4,0,0.46,1,single,,dealer,0,0.86,0
130,15,2024-08-05,2025-10-19,440,918793.3,127689.63,12.68,48,8,1046482.92,117257.0,Lada,37,88714.27,salaried,8.0,6.0,0,5,0,0.61,0,single,Moscow,dealer,0,0.86,0
131,554,2025-03-10,2025-10-19,223,699066.25,119709.91,13.0,48,8,818776.16,126284.0,Toyota,48,70993.08,contract,5.0,3.0,0,0,1,0.11,0,divorced,Moscow,online,1,0.82,0
132,461,2024-02-17,2025-10-19,610,1729406.08,372094.45,10.45,36,4,2101500.53,59858.0,Toyota,39,95563.28,salaried,17.0,11.0,0,1,0,0.69,0,married,Other,online,1,1.51,0
